id,parent_id/id,code,name,iva_affected,tax_category,internet_available,active
l10n_cl_partner_activity_186,l10n_cl_partner_activity_184,151200,"FABRICACIÓN DE MALETAS, BOLSOS Y ARTÍCULOS SIMILARES, ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA ",yes,1,1,1
l10n_cl_partner_activity_187,l10n_cl_partner_activity_120,,FABRICACIÓN DE CALZADO                    ,not,nd,1,1
l10n_cl_partner_activity_188,l10n_cl_partner_activity_187,152000,FABRICACIÓN DE CALZADO ,yes,1,1,1
l10n_cl_partner_activity_189,l10n_cl_partner_activity_120,,ASERRADO Y ACEPILLADURA DE MADERA                  ,not,nd,1,1
l10n_cl_partner_activity_190,l10n_cl_partner_activity_189,161000,ASERRADO Y ACEPILLADURA DE MADERA ,yes,1,1,1
l10n_cl_partner_activity_191,l10n_cl_partner_activity_120,,"FABRICACIÓN DE PRODUCTOS DE MADERA, CORCHO, PAJA Y MATERIALES TRENZABLES             ",not,nd,1,1
l10n_cl_partner_activity_192,l10n_cl_partner_activity_191,162100,FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA ,yes,1,1,1
l10n_cl_partner_activity_193,l10n_cl_partner_activity_191,162200,FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES ,yes,1,1,1
l10n_cl_partner_activity_194,l10n_cl_partner_activity_191,162300,FABRICACIÓN DE RECIPIENTES DE MADERA ,yes,1,1,1
l10n_cl_partner_activity_195,l10n_cl_partner_activity_191,162900,"FABRICACIÓN DE OTROS PRODUCTOS DE MADERA, DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES ",yes,1,1,1
l10n_cl_partner_activity_196,l10n_cl_partner_activity_120,,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL               ,not,nd,1,1
l10n_cl_partner_activity_197,l10n_cl_partner_activity_196,170110,FABRICACIÓN DE CELULOSA Y OTRAS PASTAS DE MADERA ,yes,1,1,1
l10n_cl_partner_activity_198,l10n_cl_partner_activity_196,170190,FABRICACIÓN DE PAPEL Y CARTÓN PARA SU POSTERIOR USO INDUSTRIAL N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_199,l10n_cl_partner_activity_196,170200,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN ,yes,1,1,1
l10n_cl_partner_activity_200,l10n_cl_partner_activity_196,170900,FABRICACIÓN DE OTROS ARTÍCULOS DE PAPEL Y CARTÓN ,yes,1,1,1
l10n_cl_partner_activity_201,l10n_cl_partner_activity_120,,IMPRESIÓN Y ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESIÓN              ,not,nd,1,1
l10n_cl_partner_activity_202,l10n_cl_partner_activity_201,181101,IMPRESIÓN DE LIBROS ,yes,1,1,1
l10n_cl_partner_activity_203,l10n_cl_partner_activity_201,181109,OTRAS ACTIVIDADES DE IMPRESIÓN N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_204,l10n_cl_partner_activity_201,181200,ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESIÓN ,yes,1,1,1
l10n_cl_partner_activity_205,l10n_cl_partner_activity_120,,REPRODUCCIÓN DE GRABACIONES                    ,not,nd,1,1
l10n_cl_partner_activity_206,l10n_cl_partner_activity_205,182000,REPRODUCCIÓN DE GRABACIONES ,yes,1,1,1
l10n_cl_partner_activity_207,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE                ,not,nd,1,1
l10n_cl_partner_activity_208,l10n_cl_partner_activity_207,191000,FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE ,yes,1,1,1
